total_commits,total_prs,merged_prs,total_issues_opened,total_issues_closed,review_comments,active_weeks,repos_contributed,total_stars,total_forks,avg_pr_lines_changed,avg_issue_response_hours,commit_trend_score,language_count,impact_score
654,28,0,70,31,57,8,6,10,3,52.2,70.9,0.2,2,40.37
27,143,50,139,107,56,28,37,6,2,455.3,26.8,0.5,10,49.53
284,39,13,86,13,23,24,6,6,1,158.7,7.3,0.5,3,43.96
565,75,46,147,49,180,4,2,10,3,591.1,143.7,0.2,12,47.65
284,116,81,93,20,94,22,13,10,2,410.1,12.0,1.0,5,52.89
473,97,34,142,56,175,20,3,5,0,189.3,45.0,0.2,10,55.56
217,167,127,101,82,117,9,16,5,1,323.4,125.5,0.5,12,49.54
141,130,126,23,1,28,9,40,5,1,357.8,64.6,1.0,14,53.26
541,64,1,29,21,137,48,17,13,2,176.1,26.6,0.2,8,72.99
519,27,27,76,64,155,12,9,6,0,572.1,155.0,0.2,10,58.25
500,4,0,92,39,61,3,15,20,7,51.4,81.6,0.2,4,46.69
562,42,16,135,108,54,34,12,11,2,403.0,62.7,1.0,14,63.59
123,63,28,16,10,5,37,35,5,0,42.6,106.0,0.2,2,42.81
72,131,60,71,62,54,34,8,11,3,345.7,40.8,0.5,13,46.2
194,24,3,110,45,108,26,29,18,1,392.1,108.6,0.2,12,46.56
111,63,24,48,34,114,8,27,5,1,524.7,12.7,1.0,3,43.15
51,166,138,3,0,192,15,10,7,1,518.8,151.6,0.2,12,41.37
465,73,54,142,124,39,12,18,5,0,441.4,10.2,0.5,1,53.72
51,149,122,128,40,14,32,5,17,1,40.8,144.8,0.5,3,38.26
592,152,10,20,13,168,37,36,8,3,122.6,120.3,0.2,8,61.4
405,33,19,117,40,192,4,0,7,2,597.7,12.3,0.2,8,47.78
70,62,23,72,20,112,34,19,9,3,392.4,1.3,1.0,9,55.13
679,26,4,67,14,27,47,35,5,0,126.4,57.6,1.0,8,57.18
52,23,20,108,106,70,2,0,6,0,587.9,27.1,0.5,13,41.44
574,2,0,19,4,139,2,23,8,0,76.5,51.8,0.2,11,50.58
105,90,71,104,79,191,9,15,18,7,486.5,148.1,0.2,5,48.74
754,85,52,63,34,40,50,6,6,0,282.4,33.5,0.5,11,61.21
233,57,1,49,25,84,17,4,48,7,384.9,67.1,1.0,10,50.19
28,29,28,66,22,148,16,2,5,1,437.1,52.7,1.0,3,40.11
260,11,11,111,0,133,51,34,10,3,442.2,33.1,0.5,2,63.84
